timestamp,open,high,low,close,volume,symbol
2024-04-09 00:00:00-04:00,167.17853275073267,168.5460917055098,166.83169838821917,168.13978576660156,42373800,AAPL
2024-04-09 00:00:00-04:00,172.91000366210938,179.22000122070312,171.9199981689453,176.8800048828125,102951700,TSLA
2024-04-09 00:00:00-04:00,187.24000549316406,187.33999633789062,184.1999969482422,185.6699981689453,36520100,AMZN
2024-04-09 00:00:00-04:00,154.81050082482042,157.26025503704565,153.9178843271403,155.3163299560547,31079500,GOOGL
2024-04-09 00:00:00-04:00,419.9936445079337,421.27398079875763,415.24649970194963,419.8360595703125,12496900,MSFT
2024-04-10 00:00:00-04:00,167.27762018668898,167.56499806522814,165.60285963338822,166.26681518554688,49709300,AAPL
2024-04-10 00:00:00-04:00,182.77000427246094,186.27000427246094,182.6699981689453,185.9499969482422,35879200,AMZN
2024-04-10 00:00:00-04:00,173.0399932861328,174.92999267578125,170.00999450683594,171.75999450683594,84532400,TSLA
2024-04-10 00:00:00-04:00,154.9295103592396,155.3262253958283,153.41203826670193,154.86007690429688,22838600,GOOGL
2024-04-10 00:00:00-04:00,415.80792292497927,417.62010476496505,413.35557288951713,416.86175537109375,16216600,MSFT
2024-04-11 00:00:00-04:00,186.74000549316406,189.77000427246094,185.50999450683594,189.0500030517578,40020700,AMZN
2024-04-11 00:00:00-04:00,155.62377976256258,158.37106260079813,155.1774715327962,158.10328674316406,27166400,GOOGL
2024-04-11 00:00:00-04:00,172.5500030517578,175.8800048828125,168.50999450683594,174.60000610351562,94516000,TSLA
2024-04-11 00:00:00-04:00,166.8217782077108,173.87757491447604,166.64340884278624,173.4613494873047,91070300,AAPL
2024-04-11 00:00:00-04:00,419.38303118441615,422.87935502001585,415.97531318643956,421.46112060546875,17966400,MSFT
2024-04-12 00:00:00-04:00,172.68839280877705,176.7514221146486,172.63885584160187,174.95774841308594,101670900,AAPL
2024-04-12 00:00:00-04:00,187.72000122070312,188.3800048828125,185.0800018310547,186.1300048828125,38608800,AMZN
2024-04-12 00:00:00-04:00,172.33999633789062,173.80999755859375,170.36000061035156,171.0500030517578,64722700,TSLA
2024-04-12 00:00:00-04:00,417.6397403424306,418.7526632511182,413.42444113170603,415.5222473144531,19253800,MSFT
2024-04-12 00:00:00-04:00,156.6652136063475,158.90668301071375,155.8519278558587,156.4370880126953,25353700,GOOGL
2024-04-15 00:00:00-04:00,157.5577715629048,157.93466141742405,153.32276995678504,153.59056091308594,27136500,GOOGL
2024-04-15 00:00:00-04:00,187.42999267578125,188.69000244140625,183.0,183.6199951171875,48052400,AMZN
2024-04-15 00:00:00-04:00,173.7784557074799,175.03700600653332,170.94424900321735,171.13253784179688,73531800,AAPL
2024-04-15 00:00:00-04:00,420.15122525352587,420.36790078356154,407.18029886088704,407.38714599609375,20273500,MSFT
2024-04-15 00:00:00-04:00,170.24000549316406,170.69000244140625,161.3800048828125,161.47999572753906,100245300,TSLA
